,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
293,Napa,2018,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1
294,Nevada,2018,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0
295,Orange,2018,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3
296,Placer,2018,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3
297,Plumas,2018,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0
298,Riverside,2018,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37
299,Sacramento,2018,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4
300,San Benito,2018,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1
301,San Bernardino,2018,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4
302,San Diego,2018,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0
303,San Francisco,2018,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1
304,San Joaquin,2018,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4
305,San Luis Obispo,2018,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25
306,San Mateo,2018,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0
307,Santa Barbara,2018,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10
308,Santa Clara,2018,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0
309,Santa Cruz,2018,365,273,82,5,5,0,0,177,56,41,0,0,136,229,0
310,Shasta,2018,365,272,72,15,5,1,0,206,84,43,0,0,341,23,1
311,Siskiyou,2018,365,247,78,16,21,3,0,219,119,42,0,0,214,151,0
312,Solano,2018,365,184,166,3,11,1,0,272,69,50,0,1,120,244,0
313,Sonoma,2018,365,304,48,3,8,2,0,250,57,39,0,2,232,130,1
314,Stanislaus,2018,365,109,209,32,11,4,0,265,108,59,0,1,153,206,5
315,Sutter,2018,365,94,236,22,6,6,1,420,100,58,0,0,101,263,1
316,Tehama,2018,365,208,128,16,12,1,0,206,96,48,0,0,224,141,0
317,Trinity,2018,291,117,155,12,5,2,0,209,82,54,0,0,0,291,0
318,Tulare,2018,365,50,194,95,26,0,0,180,140,79,0,0,207,152,6
319,Tuolumne,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0
320,Ventura,2018,365,94,254,16,1,0,0,166,88,57,0,0,116,238,11
321,Yolo,2018,365,216,135,5,7,2,0,260,71,45,0,0,198,167,0
322,Alameda,2019,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0
